protocol,prompt_id,target_id,layer_band,layer,kv,local_group,global_group_index,encoding,fault_bit,mode,step,position,clean_input_token_id,fault_input_token_id,baseline_token_id,fault_token_id,token_same,kl,max_logit_diff,mean_logit_diff,baseline_logits_finite,fault_logits_finite,post_first_divergence,free_running_kl_path_dependent,manifest_z,amd_reconstructed_z,abs_z_error,raw_scale,clean_scale,fault_scale,scale_amplification,clean_word,fault_word,clean_equal_raw,clean_source,local_write_changed,cache_readback_pass
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,2,18,11,11,4263,4263,True,0.0021306443959474564,0.40625,0.11813732236623764,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,3,19,4263,4263,279,279,True,0.001802721293643117,0.203125,0.0467681959271431,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,4,20,279,279,24154,24154,True,0.0014351189602166414,0.203125,0.061243049800395966,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,5,21,24154,24154,315,315,True,0.00014235354319680482,0.1875,0.03595644235610962,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,6,22,315,315,419,419,True,0.0003901652235072106,0.1875,0.035475630313158035,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,7,23,419,419,33004,33004,True,0.0007238020189106464,0.142578125,0.02351466566324234,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,8,24,33004,33004,389,389,True,0.0003013299428857863,0.1875,0.02714347653090954,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,9,25,389,389,279,279,True,0.0008482657722197473,0.203125,0.05395032837986946,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,10,26,279,279,8084,8084,True,0.001027422957122326,0.25,0.027369845658540726,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,11,27,8084,8084,1849,1849,True,0.001942087197676301,0.25,0.029297376051545143,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,12,28,1849,1849,30538,30538,True,0.0007947168778628111,0.1875,0.05255613103508949,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,13,29,30538,30538,323,323,True,0.0007983384421095252,0.1875,0.04363812506198883,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,14,30,323,323,4650,4650,True,0.0015389102045446634,0.203125,0.04191533476114273,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,15,31,4650,4650,65760,65760,True,0.0010730056092143059,0.25,0.028855115175247192,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,16,32,65760,65760,14830,14830,True,-2.210115113143729e-08,0.125,0.01566174253821373,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,17,33,14830,14830,13,13,True,0.0016953108133748174,0.25,0.05013401806354523,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,18,34,13,13,33589,33589,True,0.002059714635834098,0.15625,0.02446194738149643,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,19,35,33589,33589,21252,21252,True,8.757173782214522e-05,0.25,0.06908224523067474,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,20,36,21252,21252,646,646,True,0.0006413565715774894,0.25,0.032819364219903946,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,21,37,646,646,387,387,True,0.0007778851431794465,0.220703125,0.07030774652957916,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,22,38,387,387,803,803,True,6.830789061496034e-05,0.203125,0.04202767834067345,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,23,39,803,803,33346,33346,True,5.46719775229576e-07,0.1875,0.03257196024060249,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,24,40,33346,33346,1091,1091,True,2.6933621484204195e-06,0.2421875,0.08025629073381424,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,25,41,1091,1091,7729,7729,True,3.5807529457088094e-06,0.1875,0.036690279841423035,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,26,42,7729,7729,21252,21252,True,1.6593301097600488e-06,0.25,0.02564692683517933,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,27,43,21252,21252,304,304,True,2.007497641898226e-05,0.25,0.020491082221269608,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,28,44,304,304,10272,10272,True,9.648550758356578e-07,0.140625,0.03143642097711563,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,29,45,10272,10272,1506,1506,True,-7.431992798956344e-08,0.1875,0.02766372822225094,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,30,46,1506,1506,53588,53588,True,6.488965027529048e-06,0.1875,0.036961399018764496,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,31,47,53588,53588,4152,4152,True,0.0019296478712931275,0.2578125,0.06654859334230423,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,32,48,4152,4152,311,311,True,4.680709935200866e-06,0.25,0.037454020231962204,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,HA_FBMS,18,TEACHER_FORCED,1,17,22406,22406,11,11,True,4.481773430597968e-06,0.1875,0.03962881118059158,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205303497175509,1.157950577072696,1.8660659830736155,2918195199,2918457343,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,HA_FBMS,18,TEACHER_FORCED,2,18,11,11,4263,4263,True,0.0020924152340739965,0.2890625,0.09965240955352783,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205303497175509,1.157950577072696,1.8660659830736155,2918195199,2918457343,True,FULL_RAW_INT4,True,True
