rep,bc,bf,groups,values,block,fp32_ms,identity_ms,mapped_ms,codec_percent,mapping_percent,total_percent
REP_0025,19,13,4194304,134217728,3,0.839283218383789,1.054705696105957,2.203246841430664,25.667435378608893,108.89683724712933,162.51529795549408
REP_0025,19,13,4194304,134217728,4,0.8388436508178712,1.0541374588012695,2.2027083587646485,25.66554658588489,108.95836120552022,162.58866674582464
REP_0025,19,13,4194304,134217728,5,0.8389662170410156,1.0543453216552734,2.2036139678955076,25.671963928879894,109.00305835624478,162.6582481077157
REP_0025,19,13,4194304,134217728,6,0.8388040161132813,1.054041748046875,2.2026233673095703,25.660074081539165,108.96927198481481,162.5909419837713
REP_0025,19,13,4194304,134217728,7,0.8390017318725586,1.054270935058594,2.20353759765625,25.657778167582368,109.01056117361168,162.63802730635598
REP_0025,19,13,4194304,134217728,8,0.8392734909057618,1.0544901275634766,2.2029833984375,25.64320677225829,108.91455888048492,162.48695119155897
REP_0025,19,13,4194304,134217728,9,0.8392523193359376,1.054245948791504,2.2036209869384766,25.61728153765259,109.02342470127739,162.5695438866469
REP_0025,19,13,4194304,134217728,10,0.8390253448486329,1.0538914871215819,2.202829818725586,25.609016889914415,109.01865568171698,162.54627851831992
REP_0025,19,13,4194304,134217728,11,0.839076919555664,1.054158935546875,2.20338623046875,25.633170330213396,109.01840853112729,162.59645321141244
REP_0025,19,13,4194304,134217728,12,0.8389887237548828,1.0540899658203124,2.202339096069336,25.638156506174113,108.93274459314624,162.4992486445821
REP_0025,19,13,4194304,134217728,13,0.8391539764404297,1.054139404296875,2.2026029968261716,25.619306336172375,108.94798048986102,162.4790036948042
REP_0025,19,13,4194304,134217728,14,0.839083595275879,1.053864974975586,2.2027210998535156,25.597137270821023,109.01359777181554,162.51509530814886
REP_0025,19,13,4194304,134217728,15,0.838773536682129,1.0540141677856445,2.2025170135498047,25.661352163651486,108.96464970456941,162.5878043627997
REP_0026,22,10,1048576,33554432,1,0.16569793701171875,0.24309694290161132,0.5220393943786621,46.710904967041714,114.74535555551894,215.05485451019322
REP_0026,22,10,1048576,33554432,2,0.16543394088745117,0.24301315307617188,0.5218116760253906,46.89437474109366,114.72569258908796,215.41996353722362
REP_0026,22,10,1048576,33554432,3,0.16556973457336427,0.24299235343933107,0.521776065826416,46.761335376581584,114.72941779490608,215.1397610021631
REP_0026,22,10,1048576,33554432,4,0.16544093132019044,0.24305655479431154,0.5216742515563965,46.91440192868939,114.63080968866169,215.32357040880078
REP_0026,22,10,1048576,33554432,5,0.1656123447418213,0.2430987739562988,0.5219402885437012,46.78783416494328,114.70297033975538,215.1578400495275
REP_0026,22,10,1048576,33554432,6,0.16549973487854003,0.24310295104980467,0.5219094657897949,46.89023594401376,114.68660233699546,215.35365671299917
REP_0026,22,10,1048576,33554432,7,0.1656023406982422,0.24305376052856448,0.5217138862609864,46.769519986105124,114.64958416048567,215.0401643245156
REP_0026,22,10,1048576,33554432,8,0.1655069351196289,0.24299015998840334,0.5216432762145996,46.81569676386632,114.67670799488134,215.17910463241572
REP_0026,22,10,1048576,33554432,9,0.1656407356262207,0.24305596351623537,0.5217214775085449,46.736829317582405,114.65076189076741,214.9717221045456
REP_0026,22,10,1048576,33554432,10,0.16541833877563478,0.24288956642150877,0.5216866683959961,46.83351810886707,114.78348209106062,215.37414307103276
REP_0026,22,10,1048576,33554432,11,0.16572935104370118,0.24328816413879395,0.5218084716796876,46.798477521728344,114.48165122492355,214.85579856165123
REP_0026,22,10,1048576,33554432,12,0.16545833587646486,0.24311516761779783,0.5218438911437988,46.93437252947681,114.64884164043245,215.39292860615973
REP_0026,22,10,1048576,33554432,13,0.16570054054260253,0.24306796073913572,0.5220590782165527,46.69110911961183,114.7790587574948,215.06178344803195
REP_0026,22,10,1048576,33554432,14,0.16556592941284182,0.2431809616088867,0.5220218849182129,46.878625615364555,114.6639611359841,215.29547580803376
REP_0026,22,10,1048576,33554432,15,0.16576793670654297,0.24313236236572267,0.5219424819946289,46.67031948170835,114.67421157596314,214.86335196330367
REP_0026,22,10,4194304,134217728,1,0.8494235610961914,1.052173843383789,2.1825107574462894,23.869161578935483,107.4287220852534,156.94021892090356
REP_0026,22,10,4194304,134217728,2,0.8493925857543945,1.0522383117675782,2.1823928070068357,23.88126873429497,107.40480389283617,156.93570247832182
REP_0026,22,10,4194304,134217728,3,0.8493945693969727,1.052174072265625,2.1825407409667967,23.873416451510355,107.43152663581381,156.95251884130724
REP_0026,22,10,4194304,134217728,4,0.8495731353759766,1.0522702407836915,2.1827564239501953,23.858699971487663,107.4330660842941,156.92389896300355
REP_0026,22,10,4194304,134217728,5,0.849566764831543,1.0523413467407225,2.1835594177246094,23.86799840850493,107.4953554269685,157.020343557999
REP_0026,22,10,4194304,134217728,6,0.8497271347045898,1.0531534576416015,2.183902359008789,23.940193813833368,107.36791425433393,157.01219483452525
REP_0026,22,10,4194304,134217728,7,0.849860610961914,1.0526510620117187,2.1837641143798825,23.861613120329995,107.45375112304517,156.95556261963839
