representation_id,Bc,Bf,threads,groups,block,kernel,ms
REP_0025,19,13,1,4194304,4,ID_FULL,120.10285
REP_0025,19,13,1,4194304,4,MAP_LUT8,126.05879999999999
REP_0025,19,13,1,4194304,5,ID_FULL,120.15129999999999
REP_0025,19,13,1,4194304,5,MAP_LUT8,125.97895
REP_0025,19,13,1,4194304,6,ID_FULL,120.53905
REP_0025,19,13,1,4194304,6,MAP_LUT8,126.8047
REP_0025,19,13,1,4194304,7,ID_FULL,120.41114999999999
REP_0025,19,13,1,4194304,7,MAP_LUT8,127.29204999999999
REP_0025,19,13,1,4194304,8,ID_FULL,118.66835
REP_0025,19,13,1,4194304,8,MAP_LUT8,124.77959999999999
REP_0025,19,13,1,4194304,9,ID_FULL,119.73740000000001
REP_0025,19,13,1,4194304,9,MAP_LUT8,125.2051
REP_0025,19,13,1,4194304,10,ID_FULL,119.94775
REP_0025,19,13,1,4194304,10,MAP_LUT8,125.1345
REP_0025,19,13,1,4194304,11,ID_FULL,119.0753
REP_0025,19,13,1,4194304,11,MAP_LUT8,127.93530000000001
REP_0025,19,13,1,4194304,12,ID_FULL,121.33905
REP_0025,19,13,1,4194304,12,MAP_LUT8,125.56960000000001
REP_0025,19,13,1,4194304,13,ID_FULL,120.5446
REP_0025,19,13,1,4194304,13,MAP_LUT8,123.7663
REP_0025,19,13,1,4194304,14,ID_FULL,120.08975000000001
REP_0025,19,13,1,4194304,14,MAP_LUT8,123.58945
REP_0025,19,13,1,4194304,15,ID_FULL,119.7655
REP_0025,19,13,1,4194304,15,MAP_LUT8,125.39505
REP_0025,19,13,4,4194304,1,ID_FULL,29.995899999999999
REP_0025,19,13,4,4194304,1,MAP_LUT8,34.099699999999999
REP_0025,19,13,4,4194304,2,ID_FULL,30.229300000000002
REP_0025,19,13,4,4194304,2,MAP_LUT8,31.782299999999999
REP_0025,19,13,4,4194304,3,ID_FULL,32.610399999999998
REP_0025,19,13,4,4194304,3,MAP_LUT8,31.938099999999999
REP_0025,19,13,4,4194304,4,ID_FULL,30.250999999999998
REP_0025,19,13,4,4194304,4,MAP_LUT8,31.952500000000001
REP_0025,19,13,4,4194304,5,ID_FULL,30.037849999999999
REP_0025,19,13,4,4194304,5,MAP_LUT8,31.5657
REP_0025,19,13,4,4194304,6,ID_FULL,30.195499999999999
REP_0025,19,13,4,4194304,6,MAP_LUT8,31.399699999999999
REP_0025,19,13,4,4194304,7,ID_FULL,29.6129
REP_0025,19,13,4,4194304,7,MAP_LUT8,31.943649999999998
REP_0025,19,13,4,4194304,8,ID_FULL,30.222349999999999
REP_0025,19,13,4,4194304,8,MAP_LUT8,31.350999999999999
REP_0025,19,13,4,4194304,9,ID_FULL,33.773299999999999
REP_0025,19,13,4,4194304,9,MAP_LUT8,32.031599999999997
REP_0025,19,13,4,4194304,10,ID_FULL,29.737250000000003
REP_0025,19,13,4,4194304,10,MAP_LUT8,31.1981
REP_0025,19,13,4,4194304,11,ID_FULL,29.813600000000001
REP_0025,19,13,4,4194304,11,MAP_LUT8,31.424500000000002
REP_0025,19,13,4,4194304,12,ID_FULL,29.774999999999999
REP_0025,19,13,4,4194304,12,MAP_LUT8,31.18985
REP_0025,19,13,4,4194304,13,ID_FULL,30.361249999999998
REP_0025,19,13,4,4194304,13,MAP_LUT8,32
REP_0025,19,13,4,4194304,14,ID_FULL,29.60005
