representation_id,Bc,Bf,threads,groups,block,kernel,ms
REP_0026,22,10,1,4194304,6,MAP_LUT8,147.41014999999999
REP_0026,22,10,1,4194304,7,ID_FULL,139.81049999999999
REP_0026,22,10,1,4194304,7,MAP_LUT8,147.97145
REP_0026,22,10,1,4194304,8,ID_FULL,140.3134
REP_0026,22,10,1,4194304,8,MAP_LUT8,147.57049999999998
REP_0026,22,10,1,4194304,9,ID_FULL,139.56389999999999
REP_0026,22,10,1,4194304,9,MAP_LUT8,146.35470000000001
REP_0026,22,10,1,4194304,10,ID_FULL,139.32229999999998
REP_0026,22,10,1,4194304,10,MAP_LUT8,146.47879999999998
REP_0026,22,10,1,4194304,11,ID_FULL,139.37115
REP_0026,22,10,1,4194304,11,MAP_LUT8,147.00470000000001
REP_0026,22,10,1,4194304,12,ID_FULL,139.85410000000002
REP_0026,22,10,1,4194304,12,MAP_LUT8,146.83085
REP_0026,22,10,1,4194304,13,ID_FULL,139.27705
REP_0026,22,10,1,4194304,13,MAP_LUT8,146.33605
REP_0026,22,10,1,4194304,14,ID_FULL,141.00585000000001
REP_0026,22,10,1,4194304,14,MAP_LUT8,146.66720000000001
REP_0026,22,10,1,4194304,15,ID_FULL,139.04765
REP_0026,22,10,1,4194304,15,MAP_LUT8,146.19125
REP_0026,22,10,4,4194304,1,ID_FULL,38.799300000000002
REP_0026,22,10,4,4194304,1,MAP_LUT8,40.18235
REP_0026,22,10,4,4194304,2,ID_FULL,50.124049999999997
REP_0026,22,10,4,4194304,2,MAP_LUT8,43.24145
REP_0026,22,10,4,4194304,3,ID_FULL,51.414250000000003
REP_0026,22,10,4,4194304,3,MAP_LUT8,41.952500000000001
REP_0026,22,10,4,4194304,4,ID_FULL,51.604399999999998
REP_0026,22,10,4,4194304,4,MAP_LUT8,44.672600000000003
REP_0026,22,10,4,4194304,5,ID_FULL,44.241150000000005
REP_0026,22,10,4,4194304,5,MAP_LUT8,51.615300000000005
REP_0026,22,10,4,4194304,6,ID_FULL,37.205799999999996
REP_0026,22,10,4,4194304,6,MAP_LUT8,47.415899999999993
REP_0026,22,10,4,4194304,7,ID_FULL,46.91525
REP_0026,22,10,4,4194304,7,MAP_LUT8,49.872550000000004
REP_0026,22,10,4,4194304,8,ID_FULL,42.12585
REP_0026,22,10,4,4194304,8,MAP_LUT8,41.32105
REP_0026,22,10,4,4194304,9,ID_FULL,42.739400000000003
REP_0026,22,10,4,4194304,9,MAP_LUT8,44.616950000000003
REP_0026,22,10,4,4194304,10,ID_FULL,40.614900000000006
REP_0026,22,10,4,4194304,10,MAP_LUT8,45.426949999999998
REP_0026,22,10,4,4194304,11,ID_FULL,41.190650000000005
REP_0026,22,10,4,4194304,11,MAP_LUT8,49.665549999999996
REP_0026,22,10,4,4194304,12,ID_FULL,38.24145
REP_0026,22,10,4,4194304,12,MAP_LUT8,45.657250000000005
REP_0026,22,10,4,4194304,13,ID_FULL,41.286450000000002
REP_0026,22,10,4,4194304,13,MAP_LUT8,43.221249999999998
REP_0026,22,10,4,4194304,14,ID_FULL,38.075299999999999
REP_0026,22,10,4,4194304,14,MAP_LUT8,50.362349999999999
REP_0026,22,10,4,4194304,15,ID_FULL,44.34825
REP_0026,22,10,4,4194304,15,MAP_LUT8,48.819950000000006
REP_0026,22,10,8,4194304,1,ID_FULL,32.806049999999999
REP_0026,22,10,8,4194304,1,MAP_LUT8,32.583300000000001
REP_0026,22,10,8,4194304,2,ID_FULL,34.396699999999996
REP_0026,22,10,8,4194304,2,MAP_LUT8,34.216250000000002
REP_0026,22,10,8,4194304,3,ID_FULL,32.482749999999996
REP_0026,22,10,8,4194304,3,MAP_LUT8,33.50515
REP_0026,22,10,8,4194304,4,ID_FULL,33.625550000000004
REP_0026,22,10,8,4194304,4,MAP_LUT8,33.129599999999996
REP_0026,22,10,8,4194304,5,ID_FULL,32.871900000000004
REP_0026,22,10,8,4194304,5,MAP_LUT8,34.053049999999999
REP_0026,22,10,8,4194304,6,ID_FULL,34.004949999999994
REP_0026,22,10,8,4194304,6,MAP_LUT8,34.2209
REP_0026,22,10,8,4194304,7,ID_FULL,32.453899999999997
REP_0026,22,10,8,4194304,7,MAP_LUT8,33.244050000000001
REP_0026,22,10,8,4194304,8,ID_FULL,32.972200000000001
REP_0026,22,10,8,4194304,8,MAP_LUT8,33.917450000000002
REP_0026,22,10,8,4194304,9,ID_FULL,32.228650000000002
REP_0026,22,10,8,4194304,9,MAP_LUT8,33.853300000000004
REP_0026,22,10,8,4194304,10,ID_FULL,33.917900000000003
REP_0026,22,10,8,4194304,10,MAP_LUT8,33.621449999999996
REP_0026,22,10,8,4194304,11,ID_FULL,33.553350000000002
REP_0026,22,10,8,4194304,11,MAP_LUT8,32.806550000000001
REP_0026,22,10,8,4194304,12,ID_FULL,32.760849999999998
REP_0026,22,10,8,4194304,12,MAP_LUT8,33.618750000000006
REP_0026,22,10,8,4194304,13,ID_FULL,32.516600000000004
REP_0026,22,10,8,4194304,13,MAP_LUT8,33.086799999999997
REP_0026,22,10,8,4194304,14,ID_FULL,33.722250000000003
REP_0026,22,10,8,4194304,14,MAP_LUT8,32.320099999999996
REP_0026,22,10,8,4194304,15,ID_FULL,33.366150000000005
REP_0026,22,10,8,4194304,15,MAP_LUT8,32.885649999999998
REP_0027,26,6,1,4194304,1,ID_FULL,139.84969999999998
REP_0027,26,6,1,4194304,1,MAP_LUT8,146.59210000000002
REP_0027,26,6,1,4194304,2,ID_FULL,139.33875
REP_0027,26,6,1,4194304,2,MAP_LUT8,147.82769999999999
REP_0027,26,6,1,4194304,3,ID_FULL,139.3407
REP_0027,26,6,1,4194304,3,MAP_LUT8,145.95479999999998
REP_0027,26,6,1,4194304,4,ID_FULL,139.0034
REP_0027,26,6,1,4194304,4,MAP_LUT8,146.2749
REP_0027,26,6,1,4194304,5,ID_FULL,139.32249999999999
REP_0027,26,6,1,4194304,5,MAP_LUT8,145.68430000000001
REP_0027,26,6,1,4194304,6,ID_FULL,138.96474999999998
REP_0027,26,6,1,4194304,6,MAP_LUT8,146.22784999999999
REP_0027,26,6,1,4194304,7,ID_FULL,139.45865000000001
REP_0027,26,6,1,4194304,7,MAP_LUT8,146.10214999999999
REP_0027,26,6,1,4194304,8,ID_FULL,140.16775000000001
REP_0027,26,6,1,4194304,8,MAP_LUT8,146.56450000000001
REP_0027,26,6,1,4194304,9,ID_FULL,139.27494999999999
REP_0027,26,6,1,4194304,9,MAP_LUT8,147.999
REP_0027,26,6,1,4194304,10,ID_FULL,143.28395
REP_0027,26,6,1,4194304,10,MAP_LUT8,149.88364999999999
REP_0027,26,6,1,4194304,11,ID_FULL,139.62504999999999
REP_0027,26,6,1,4194304,11,MAP_LUT8,145.93880000000001
REP_0027,26,6,1,4194304,12,ID_FULL,141.39425
REP_0027,26,6,1,4194304,12,MAP_LUT8,147.77735000000001
REP_0027,26,6,1,4194304,13,ID_FULL,141.09375
REP_0027,26,6,1,4194304,13,MAP_LUT8,146.37914999999998
REP_0027,26,6,1,4194304,14,ID_FULL,139.81245000000001
REP_0027,26,6,1,4194304,14,MAP_LUT8,146.36185
REP_0027,26,6,1,4194304,15,ID_FULL,141.91225
REP_0027,26,6,1,4194304,15,MAP_LUT8,147.72375
REP_0027,26,6,4,4194304,1,ID_FULL,45.202100000000002
REP_0027,26,6,4,4194304,1,MAP_LUT8,41.479900000000001
REP_0027,26,6,4,4194304,2,ID_FULL,38.482700000000001
REP_0027,26,6,4,4194304,2,MAP_LUT8,43.277799999999999
REP_0027,26,6,4,4194304,3,ID_FULL,45.0304
REP_0027,26,6,4,4194304,3,MAP_LUT8,41.250450000000001
REP_0027,26,6,4,4194304,4,ID_FULL,37.840199999999996
REP_0027,26,6,4,4194304,4,MAP_LUT8,45.932649999999995
REP_0027,26,6,4,4194304,5,ID_FULL,37.509999999999998
REP_0027,26,6,4,4194304,5,MAP_LUT8,39.190249999999999
REP_0027,26,6,4,4194304,6,ID_FULL,38.741950000000003
REP_0027,26,6,4,4194304,6,MAP_LUT8,39.828900000000004
REP_0027,26,6,4,4194304,7,ID_FULL,37.570999999999998
REP_0027,26,6,4,4194304,7,MAP_LUT8,39.609200000000001
REP_0027,26,6,4,4194304,8,ID_FULL,38.600149999999999
REP_0027,26,6,4,4194304,8,MAP_LUT8,42.5458
REP_0027,26,6,4,4194304,9,ID_FULL,39.974249999999998
REP_0027,26,6,4,4194304,9,MAP_LUT8,38.815849999999998
REP_0027,26,6,4,4194304,10,ID_FULL,38.112749999999998
REP_0027,26,6,4,4194304,10,MAP_LUT8,45.354750000000003
REP_0027,26,6,4,4194304,11,ID_FULL,37.420649999999995
REP_0027,26,6,4,4194304,11,MAP_LUT8,41.389099999999999
REP_0027,26,6,4,4194304,12,ID_FULL,37.500450000000001
REP_0027,26,6,4,4194304,12,MAP_LUT8,40.078200000000002
REP_0027,26,6,4,4194304,13,ID_FULL,38.608199999999997
